Name: OUT09_MMXU1TotVArInstMag | KeyTag: 3760001,11020008
Name: OUT09_MMXU1TotPFMag | KeyTag: 3740001,11000008
Name: OUT09_CSWI2PosStVal | KeyTag: 1920003,8940007
Name: OUT10_MMXU1PPVPhsABIMag | KeyTag: 4080001,11120008
Name: OUT10_MMXU1PPVPhsBCIMag | KeyTag: 4100001,11140008
Name: OUT10_MMXU1PPVPhsCAIMag | KeyTag: 4120001,11160008
Name: OUT10_MMXU1APhsAIMag | KeyTag: 4020001,11060008
Name: OUT10_MMXU1APhsBIMag | KeyTag: 4040001,11080008
Name: OUT10_MMXU1APhsCIMag | KeyTag: 4060001,11100008
Name: OUT10_MMXU1TotWInstMag | KeyTag: 4180001,11220008
Name: OUT10_MMXU1TotVArInstMag | KeyTag: 4160001,11200008
Name: OUT10_MMXU1TotPFMag | KeyTag: 4140001,11180008
Name: OUT10_CSWI2PosStVal | KeyTag: 4160003,11140007
Name: BS01_MMXU1PPVPhsABIMag | KeyTag: 16420000,12180004
Name: BS01_MMXU1PPVPhsBCIMag | KeyTag: 16440000,12200004
Name: BS01_MMXU1PPVPhsCAIMag | KeyTag: 16460000,12220004
Name: BS01_MMXU1APhsAIMag | KeyTag: 16360000,12120004
Name: BS01_MMXU1APhsBIMag | KeyTag: 16380000,12140004
Name: BS01_MMXU1APhsCIMag | KeyTag: 16400000,12160004
Name: BS01_MMXU1TotWInstMag | KeyTag: 16540000,12300004
Name: BS01_MMXU1TotVArInstMag | KeyTag: 16520000,12280004
Name: BS01_MMXU1TotPFMag | KeyTag: 16500000,12260004
Name: BS01_CSWI2PosStVal | KeyTag: 6420001,1420005
Name: CAP01_MMXU1PPVPhsABIMag | KeyTag: 16840000,12460004
Name: CAP01_MMXU1PPVPhsBCIMag | KeyTag: 16860000,12480004
Name: CAP01_MMXU1PPVPhsCAIMag | KeyTag: 16880000,12500004
Name: CAP01_MMXU1APhsAIMag | KeyTag: 16780000,12400004
Name: CAP01_MMXU1APhsBIMag | KeyTag: 16800000,12420004
Name: CAP01_MMXU1APhsCIMag | KeyTag: 16820000,12440004
Name: CAP01_MMXU1TotWInstMag | KeyTag: 16960000,12580004
Name: CAP01_MMXU1TotVArInstMag | KeyTag: 16940000,12560004
Name: CAP01_MMXU1TotPFMag | KeyTag: 16920000,12540004
Name: CAP01_CSWI2PosStVal | KeyTag: 8180001,3120005
